,4221.00844,N,07106.45079,W,012517.00,A,A*79 2570 \
,4221.00855,N,07106.45171,W,012518.00,A,A*7F 2570 ]
,4221.00874,N,07106.45260,W,012519.00,A,A*7E 2570 ]
,4221.00882,N,07106.45347,W,012520.00,A,A*79 2570 ]
,4221.00872,N,07106.45465,W,012521.00,A,A*70 2570 ^
,4221.00866,N,07106.45560,W,012522.00,A,A*72 2570 ^
,4221.00851,N,07106.45617,W,012523.00,A,A*74 2570 ^
,4221.00846,N,07106.45698,W,012524.00,A,A*72 2570 _
,4221.00851,N,07106.45782,W,012525.00,A,A*7F 2570 _
,4221.00861,N,07106.45858,W,012526.00,A,A*77 2570 _
,4221.00867,N,07106.45939,W,012527.00,A,A*76 2570 `
,4221.00871,N,07106.46005,W,012528.00,A,A*7B 2570 `
,4221.00860,N,07106.46066,W,012529.00,A,A*7F 2570 `
,4221.00870,N,07106.46152,W,012530.00,A,A*70 2570 a
,4221.00870,N,07106.46234,W,012531.00,A,A*72 2570 a
,4221.00878,N,07106.46328,W,012532.00,A,A*75 2570 a
,4221.00890,N,07106.46405,W,012533.00,A,A*7A 2570 b
,4221.00911,N,07106.46490,W,012534.00,A,A*79 2570 b
,4221.00914,N,07106.46576,W,012535.00,A,A*74 2570 b
,4221.00911,N,07106.46624,W,012536.00,A,A*76 2570 c
,4221.00900,N,07106.46696,W,012537.00,A,A*7E 2570 c
,4221.00914,N,07106.46800,W,012538.00,A,A*75 2570 c
,4221.00917,N,07106.46880,W,012539.00,A,A*7F 2570 d
,4221.00948,N,07106.46946,W,012540.00,A,A*70 2570 d
,4221.00956,N,07106.47000,W,012541.00,A,A*74 2570 d
,4221.00957,N,07106.47081,W,012542.00,A,A*7F 2570 e
,4221.00966,N,07106.47147,W,012543.00,A,A*77 2570 e
,4221.00978,N,07106.47229,W,012544.00,A,A*74 2570 e
,4221.01007,N,07106.47313,W,012545.00,A,A*7D 2570 f
,4221.01008,N,07106.47397,W,012546.00,A,A*7D 2570 f
,4221.00990,N,07106.47465,W,012547.00,A,A*7F 2570 f
,4221.01000,N,07106.47536,W,012548.00,A,A*76 2570 g
,4221.01010,N,07106.47608,W,012549.00,A,A*78 2570 g
